
有机化学实验虚拟仿真实验软件采购结果公告,http://lxy.hzau.edu.cn/../info/1042/6186.htm,2018-12-03
理学院2018年度研究生指导教师遴选申报名单公示,http://lxy.hzau.edu.cn/../info/1042/6185.htm,2018-11-30
数据采集系统、空间光调制器采购结果公告,http://lxy.hzau.edu.cn/../info/1042/6112.htm,2018-11-19
小鼠IVC笼具采购结果公告,http://lxy.hzau.edu.cn/../info/1042/6096.htm,2018-11-15
数码光电显微镜采购结果公告,http://lxy.hzau.edu.cn/../info/1042/6095.htm,2018-11-12
大功率多波长激光器、高稳定激光器采购结果公告,http://lxy.hzau.edu.cn/../info/1042/6094.htm,2018-11-09
有机化学实验虚拟仿真实验设计仿真软件采购结果公告,http://lxy.hzau.edu.cn/../info/1042/6078.htm,2018-11-02
转发学校《关于做好2019年国际会议预报和管理工作的通知》,http://lxy.hzau.edu.cn/../info/1042/6042.htm,2018-10-17
转发学校《关于组织开展2018年“扶贫日”活动的通知》,http://lxy.hzau.edu.cn/../info/1042/6032.htm,2018-10-15
理学院倒置显微镜、激光打标机采购结果公告,http://lxy.hzau.edu.cn/../info/1042/6027.htm,2018-10-12
理学院GPU服务器采购结果公告,http://lxy.hzau.edu.cn/../info/1042/6026.htm,2018-10-12
2018年理学院研究生国家奖学金评选结果公示,http://lxy.hzau.edu.cn/../info/1042/6022.htm,2018-10-12
理学院2019年接收推免生工作方案,http://lxy.hzau.edu.cn/../info/1042/6007.htm,2018-09-30
理学院无机及分析化学虚拟仿真软件采购结果公告,http://lxy.hzau.edu.cn/../info/1042/6001.htm,2018-09-30
2018年理学院研究生国家奖学金评审实施细则,http://lxy.hzau.edu.cn/../info/1042/6000.htm,2018-09-30
材料计算模拟软件VASP采购结果公告,http://lxy.hzau.edu.cn/../info/1042/5993.htm,2018-09-28
关于征求2018年度校院两级班子及成员民主生活会意见建议的通知,http://lxy.hzau.edu.cn/../info/1042/6252.htm,2019-01-03
有机化学实验虚拟仿真实验软件采购结果公告,http://lxy.hzau.edu.cn/../info/1042/6186.htm,2018-12-03
理学院2018年度研究生指导教师遴选申报名单公示,http://lxy.hzau.edu.cn/../info/1042/6185.htm,2018-11-30
